Username,Comment,Duplicate_Count,Fake_Score,Fake_Detection
@tirupatitirupati1787,Jaya parakesh rady  sir😂😂😂😂😂😢😢😢😢,1,2,Suspicious
@dharavathshivalal7773,Hai halo,1,1,Real
@harikrishna19821,😂😂🎉🎉🎉😢😢😢😮😮😮,1,4,Suspicious
@kumars5930,The comedy scene is good,1,0,Real
@lokeshwaraiahbatchu4669,గతంలోఎన్టీ రామారావు వయస్సున్న హీరోలలాగ కాక కొద్దిగా తక్కువ వయసులో ఉన్న హీరోల కంటే శ్రీహరి అంత హీరో ఎవరు లేరు 💐🇳🇪🙏🚩👌👌,1,2,Suspicious
@srinuch8589,Chandra mohan great,1,0,Real
@vidyasagarchitta7593,Excellent actor Srihari. We enjoyed all his movies.,1,0,Real
@mohammedabdulshafi6752,😅😅😅😂,1,1,Real
@MonkeysrikanthMonkeysrikanth,2024లో చూసిన వాళ్ళు,1,0,Real
@ashokbabu2124,"31.00 deoy saidulll😂😂😂
E mvi ani telidiiiuu",1,0,Real
@ashokkumarashu2910,2024 lo kuda chuse vallu unnra 😊,1,0,Real
@karthik33679,33:55 😂😂..... Sri hari garu💐😢,1,3,Suspicious
@mohammedashraf250,Amberpet Shankar Anna biopic 🎉 super,1,0,Real
@NaveenNaveen-nv1zw,Naveen,1,1,Real
@simhakumarv.s.a.n,👌👌 Comedy,1,1,Real
@degaladanielpaul7319,https://youtu.be/Z5bq5FgWna8?si=sVN0JWFNLj7TDM3q,1,4,Suspicious
@vikrampurampalli1596,శ్రీ హరి అన్నా ఐ మిస్ యూ,1,0,Real
@harisiri3597,Mis you anna sri hari anna,1,0,Real
@JanniraviRavi,శ్రీహరి లవ్ నటుడు,1,0,Real
@enarendranaik,❤🎉,2,3,Suspicious
@gnageswar911,Ultimate comedy 😅,1,0,Real
@MrVipinb,I watched the entire video just for 23:03 🤣,1,0,Real
@RamuluRamulu-y2h,hi hi hi...chaari gaaru...nannu invalv cheyaku,1,0,Real
@PurrasudharshanPurra,Bu,1,1,Real
@PurrasudharshanPurra,Mi,1,1,Real
@user-g705raj,Bramhanandam and sunil comedy super,1,0,Real
@rehamanhanif,His. Perfect. Actar,1,0,Real
@rehamanhanif,Srihari babay. Chala. Manchi manishi,1,0,Real
@afrozshaik7941,Brahmi's expression at 21:00😂,1,0,Real
